"source_id","title","authority","original_url","final_url","http_status","https","official_domain","redirected","classification","relation_check","reason","last_verified","checked_at","affected_results","affected_count"
"SRC94-MARR-PAPER","تصديق عقد زواج","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/6f961e87-0b95-484a-9af7-055aeaf121c0.aspx","https://www.moj.gov.sa/ar/eServices/pages/6f961e87-0b95-484a-9af7-055aeaf121c0.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC95-MOJ","الخدمات العدلية الإلكترونية","وزارة العدل","https://www.moj.gov.sa/ar/UN-Metrices/Pages/default.aspx","https://www.moj.gov.sa/ar/UN-Metrices/Pages/default.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC96-ACK","التحقق من إقرار","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/ea04c420-0602-4045-80a0-070063feb122.aspx","https://www.moj.gov.sa/ar/eServices/Pages/ea04c420-0602-4045-80a0-070063feb122.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-DOC-OTHER-ACK","1"
"SRC96-EXEC","تقديم طلب تنفيذ","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/1c719954-3463-4754-85e1-1b319b937b86.aspx","https://www.moj.gov.sa/ar/eservices/pages/1c719954-3463-4754-85e1-1b319b937b86.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-DOC-PAYMENT-EXEC-GATE","1"
"SRC96-POA","إصدار وكالة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/3472d517-7cb4-4cd5-a6bc-2abc9751eea3.aspx","https://www.moj.gov.sa/ar/eServices/Pages/3472d517-7cb4-4cd5-a6bc-2abc9751eea3.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-DOC-POWER-ISSUE | R-DOC-POWER-FIRST65","2"
"SRC96-REG","طلب تسجيل وكالة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/Pages/40e619cb-a221-44c2-ba99-af7b70c37bd8.aspx","https://www.moj.gov.sa/ar/eServices/Pages/40e619cb-a221-44c2-ba99-af7b70c37bd8.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-DOC-POWER-REGISTER","1"
"SRC96-VERIFY","التحقق من وكالة","وزارة العدل","https://www.moj.gov.sa/ar/eServices/pages/67699648-9709-4d94-8d40-a427c4204fd5.aspx","https://www.moj.gov.sa/ar/eServices/pages/67699648-9709-4d94-8d40-a427c4204fd5.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC97-CLAIM","صحيفة دعوى","وزارة العدل","https://moj.gov.sa/ar/eServices/Pages/928b8f02-19a7-482b-ba0e-29a151d9a900.aspx","https://moj.gov.sa/ar/eServices/Pages/928b8f02-19a7-482b-ba0e-29a151d9a900.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC97-COST","التكاليف القضائية","وزارة العدل","https://www.moj.gov.sa/ar/eservices/pages/143507f9-e5db-4423-a0c1-9f489c6c3893.aspx","https://www.moj.gov.sa/ar/eservices/pages/143507f9-e5db-4423-a0c1-9f489c6c3893.aspx","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","R-NAJIZ-JUDICIAL-COSTS-OBJECTION","1"
"SRC97-COSTREG","اللائحة التنفيذية لنظام التكاليف القضائية","وزارة العدل","https://cfee.moj.gov.sa/executive.html","https://cfee.moj.gov.sa/executive.html","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
"SRC97-COSTSYS","نظام التكاليف القضائية","وزارة العدل","https://cfee.moj.gov.sa/system.html","https://cfee.moj.gov.sa/system.html","200","YES","YES","NO","ACTIVE","REQUIRES HUMAN CHECK","الرابط يعمل على HTTPS ونطاق رسمي.","2026-09-23","2026-09-23T15:19:33.595Z","","0"
